"","X","Z","Y","block"
"874",874,TRUE,1,30
"875",875,TRUE,1,30
"876",876,FALSE,1,30
"877",877,TRUE,0,30
"878",878,FALSE,1,30
"879",879,FALSE,0,30
"880",880,TRUE,1,30
"881",881,TRUE,1,30
"882",882,FALSE,1,30
"883",883,FALSE,1,30
"884",884,FALSE,1,30
"885",885,FALSE,1,30
"886",886,FALSE,1,30
"887",887,TRUE,0,30
"888",888,FALSE,1,30
"889",889,TRUE,0,30
"890",890,FALSE,0,30
"891",891,FALSE,1,30
"892",892,TRUE,1,30
"893",893,TRUE,1,30
"894",894,TRUE,1,30
"895",895,TRUE,1,30
"896",896,TRUE,0,30
"897",897,TRUE,0,30
"898",898,TRUE,1,30
"899",899,FALSE,1,30
"900",900,FALSE,1,30
"901",901,FALSE,0,31
"902",902,TRUE,0,31
"903",903,TRUE,0,31
"904",904,TRUE,0,31
"905",905,FALSE,0,31
"906",906,TRUE,0,31
"907",907,FALSE,0,31
"908",908,FALSE,1,31
"909",909,FALSE,0,31
"910",910,TRUE,1,31
"911",911,TRUE,0,31
"912",912,TRUE,0,31
"913",913,TRUE,1,31
"914",914,TRUE,1,31
"915",915,FALSE,1,31
"916",916,TRUE,1,31
"917",917,FALSE,1,31
"918",918,FALSE,0,31
"919",919,FALSE,0,31
"920",920,FALSE,1,31
"921",921,FALSE,1,31
"922",922,FALSE,1,31
"923",923,FALSE,1,31
"924",924,TRUE,1,31
"925",925,FALSE,0,31
"926",926,TRUE,0,31
"927",927,FALSE,1,31
"928",928,TRUE,1,31
"929",929,TRUE,1,31
"930",930,TRUE,1,31
"931",931,TRUE,1,32
"932",932,TRUE,1,32
"933",933,FALSE,1,32
"934",934,FALSE,1,32
"935",935,FALSE,1,32
"936",936,FALSE,1,32
"937",937,TRUE,1,32
"938",938,FALSE,0,32
"939",939,FALSE,1,32
"940",940,TRUE,1,32
"941",941,TRUE,1,32
"942",942,TRUE,0,32
"943",943,TRUE,1,32
"944",944,TRUE,0,32
"945",945,TRUE,1,32
"946",946,TRUE,1,32
"947",947,FALSE,1,32
"948",948,TRUE,1,32
"949",949,FALSE,0,32
"950",950,FALSE,0,32
"951",951,FALSE,1,32
"952",952,TRUE,1,32
"953",953,FALSE,1,32
"954",954,FALSE,1,32
"955",955,FALSE,1,32
"956",956,TRUE,1,32
"957",957,TRUE,1,32
"958",958,FALSE,1,32
"959",959,TRUE,1,32
"960",960,TRUE,1,32
"961",961,TRUE,1,33
"962",962,TRUE,0,33
"963",963,FALSE,0,33
"964",964,TRUE,1,33
